Rank,Title,URL,Score,Genres,Episodes,Premiered,Studio,Type,Source
2079,Lutu Weiji! Sheng Freya Hao Tebie Shijian,https://myanimelist.net/anime/58079/Lutu_Weiji_Sheng_Freya_Hao_Tebie_Shijian,7.46,"Comedy, Mystery, Sci-Fi, Space",1,Premiered season not found,HuaMei Animation,ONA,Source not found
2080,Mahoutsukai Precure! Movie: Kiseki no Henshin! Cure Mofurun!,https://myanimelist.net/anime/33183/Mahoutsukai_Precure_Movie__Kiseki_no_Henshin_Cure_Mofurun,7.46,"Action, Slice of Life, Mahou Shoujo, School",1,Premiered season not found,Toei Animation,Movie,Source not found
2081,Major 2nd 2nd Season,https://myanimelist.net/anime/40504/Major_2nd_2nd_Season,7.46,"Sports, Team Sports, Shounen",25,Spring 2020,OLM,TV,Manga
2082,Miira no Kaikata,https://myanimelist.net/anime/35828/Miira_no_Kaikata,7.46,"Slice of Life, Supernatural, Mythology, Pets, School",12,Winter 2018,8bit,TV,Web manga
2083,Naruto: Shippuuden Movie 5 - Blood Prison,https://myanimelist.net/anime/10589/Naruto__Shippuuden_Movie_5_-_Blood_Prison,7.46,"Action, Adventure, Fantasy, Shounen",1,Premiered season not found,Pierrot,Movie,Manga
2084,Orange: Mirai,https://myanimelist.net/anime/34136/Orange__Mirai,7.46,"Drama, Romance, Sci-Fi, School, Time Travel, Shoujo",1,Premiered season not found,Telecom Animation Film,Movie,Manga
2085,Ouritsu Uchuugun: Honneamise no Tsubasa,https://myanimelist.net/anime/1034/Ouritsu_Uchuugun__Honneamise_no_Tsubasa,7.46,"Action, Award Winning, Drama, Sci-Fi, Military, Space",1,Premiered season not found,Gainax,Movie,Source not found
2086,Oushitsu Kyoushi Heine,https://myanimelist.net/anime/34262/Oushitsu_Kyoushi_Heine,7.46,"Comedy, Historical, Shounen",12,Spring 2017,Bridge,TV,Manga
2087,Kaleido Star: Aratanaru Tsubasa - Extra Stage,https://myanimelist.net/anime/428/Kaleido_Star__Aratanaru_Tsubasa_-_Extra_Stage,7.45,"Adventure, Comedy, Drama, Performing Arts",1,Premiered season not found,Gonzo,OVA,Source not found
2088,Kara no Kyoukai Movie: Mirai Fukuin - Extra Chorus,https://myanimelist.net/anime/22763/Kara_no_Kyoukai_Movie__Mirai_Fukuin_-_Extra_Chorus,7.45,"Drama, Mystery, Supernatural",1,Premiered season not found,ufotable,Special,Manga
2089,Kengan Ashura,https://myanimelist.net/anime/36903/Kengan_Ashura,7.45,"Action, Martial Arts",12,Premiered season not found,Larx Entertainment,ONA,Web manga
2090,Kin no Kuni Mizu no Kuni,https://myanimelist.net/anime/52186/Kin_no_Kuni_Mizu_no_Kuni,7.45,"Fantasy, Romance, Josei",1,Premiered season not found,Madhouse,Movie,Manga
2091,Kishuku Gakkou no Juliet,https://myanimelist.net/anime/37475/Kishuku_Gakkou_no_Juliet,7.45,"Action, Comedy, Romance, School, Shounen",12,Fall 2018,LIDENFILMS,TV,Manga
2092,"Kumo desu ga, Nani ka?",https://myanimelist.net/anime/37984/Kumo_desu_ga_Nani_ka,7.45,"Action, Adventure, Comedy, Fantasy, Mystery, Isekai, Reincarnation",24,Winter 2021,Millepensee,TV,Light novel
2094,Lady Jewelpet,https://myanimelist.net/anime/22693/Lady_Jewelpet,7.45,"Fantasy, Romance, Anthropomorphic, Mahou Shoujo",52,Spring 2014,Studio Comet,TV,Source not found
2095,Lady Lady!!,https://myanimelist.net/anime/2227/Lady_Lady,7.45,"Drama, Historical, Shoujo",21,Fall 1987,Toei Animation,TV,Manga
2096,Magic Knight Rayearth,https://myanimelist.net/anime/435/Magic_Knight_Rayearth,7.45,"Action, Adventure, Comedy, Drama, Fantasy, Isekai, Mecha, Shoujo",20,Fall 1994,Tokyo Movie Shinsha,TV,Manga
2097,Mahouka Koukou no Rettousei Movie: Hoshi wo Yobu Shoujo,https://myanimelist.net/anime/32900/Mahouka_Koukou_no_Rettousei_Movie__Hoshi_wo_Yobu_Shoujo,7.45,"Action, Fantasy, Sci-Fi, Urban Fantasy",1,Premiered season not found,8bit,Movie,Light novel
2098,Motto! Ojamajo Doremi,https://myanimelist.net/anime/352/Motto_Ojamajo_Doremi,7.45,"Comedy, Fantasy",50,Winter 2001,Toei Animation,TV,Source not found
2099,Ojamajo Doremi Sharp,https://myanimelist.net/anime/351/Ojamajo_Doremi_Sharp,7.45,"Comedy, Fantasy, Childcare",49,Winter 2000,Toei Animation,TV,Source not found
2100,Otome Game no Hametsu Flag shika Nai Akuyaku Reijou ni Tensei shiteshimatta...,https://myanimelist.net/anime/38555/Otome_Game_no_Hametsu_Flag_shika_Nai_Akuyaku_Reijou_ni_Tensei_shiteshimatta,7.45,"Comedy, Fantasy, Romance, Isekai, Reverse Harem, School, Villainess, Shoujo",12,Spring 2020,SILVER LINK.,TV,Light novel
2101,Paniponi Dash!: Danjite Okonaeba Kishin mo Kore wo Saku,https://myanimelist.net/anime/5419/Paniponi_Dash__Danjite_Okonaeba_Kishin_mo_Kore_wo_Saku,7.45,"Comedy, Gag Humor, Parody, School, Shounen",1,Premiered season not found,Shaft,Special,Manga
2102,Saki,https://myanimelist.net/anime/5671/Saki,7.45,"Slice of Life, School, Strategy Game, Seinen",25,Spring 2009,Gonzo,TV,Manga
2103,Senki Zesshou Symphogear GX,https://myanimelist.net/anime/21573/Senki_Zesshou_Symphogear_GX,7.45,"Action, Sci-Fi, Idols (Female), Music",13,Summer 2015,Satelight,TV,Source not found
2105,Shokugeki no Souma: Ni no Sara OVA,https://myanimelist.net/anime/34480/Shokugeki_no_Souma__Ni_no_Sara_OVA,7.45,"Gourmet, Ecchi, School, Shounen",2,Premiered season not found,J.C.Staff,OVA,Manga
2106,Shokugeki no Souma: San no Sara - Kyokuseiryou no Erina,https://myanimelist.net/anime/36962/Shokugeki_no_Souma__San_no_Sara_-_Kyokuseiryou_no_Erina,7.45,"Drama, Shounen",1,Premiered season not found,J.C.Staff,OVA,Manga
2107,Sidonia no Kishi: Ai Tsumugu Hoshi,https://myanimelist.net/anime/35759/Sidonia_no_Kishi__Ai_Tsumugu_Hoshi,7.45,"Action, Sci-Fi, Mecha, Space, Seinen",1,Premiered season not found,Polygon Pictures,Movie,Manga
2108,Soredemo Machi wa Mawatteiru,https://myanimelist.net/anime/8726/Soredemo_Machi_wa_Mawatteiru,7.45,"Slice of Life, Workplace, Seinen",12,Fall 2010,Shaft,TV,Manga
2109,Super Cub,https://myanimelist.net/anime/40685/Super_Cub,7.45,"Slice of Life, CGDCT, Iyashikei, School",12,Spring 2021,Studio Kai,TV,Light novel
2110,Suzumiya Haruhi-chan no Yuuutsu,https://myanimelist.net/anime/5118/Suzumiya_Haruhi-chan_no_Yuuutsu,7.45,"Comedy, Parody",25,Premiered season not found,Kyoto Animation,ONA,4-koma manga
2111,Taiho Shichau zo,https://myanimelist.net/anime/1577/Taiho_Shichau_zo,7.45,"Action, Comedy, Detective, Workplace, Seinen",4,Premiered season not found,Studio Deen,OVA,Manga
2112,Tennis no Oujisama: Another Story II - Ano Toki no Bokura,https://myanimelist.net/anime/10573/Tennis_no_Oujisama__Another_Story_II_-_Ano_Toki_no_Bokura,7.45,"Comedy, Sports, School, Shounen",4,Premiered season not found,M.S.C,OVA,Manga
2113,The iDOLM@STER: 765 Pro to Iu Monogatari,https://myanimelist.net/anime/11889/The_iDOLMSTER__765_Pro_to_Iu_Monogatari,7.45,"Comedy, Drama, Idols (Female), Music",1,Premiered season not found,A-1 Pictures,Special,Source not found
2114,Urusei Yatsura Movie 5: Kanketsu-hen,https://myanimelist.net/anime/1924/Urusei_Yatsura_Movie_5__Kanketsu-hen,7.45,"Action, Adventure, Comedy, Drama, Romance, Sci-Fi, Shounen",1,Premiered season not found,Magic Bus,Movie,Manga
2115,Vinland Saga Season 2: Drowning in the Shadow,https://myanimelist.net/anime/54463/Vinland_Saga_Season_2__Drowning_in_the_Shadow,7.45,"Action, Adventure, Drama, Gore, Historical, Seinen",1,Premiered season not found,MAPPA,ONA,Manga
2116,Yaoguai Mingdan 2nd Season,https://myanimelist.net/anime/36160/Yaoguai_Mingdan_2nd_Season,7.45,"Action, Comedy, Fantasy, Romance",21,Premiered season not found,Haoliners Animation League,ONA,Web manga
2117,Yozakura Quartet: Tsuki ni Naku,https://myanimelist.net/anime/18499/Yozakura_Quartet__Tsuki_ni_Naku,7.45,"Action, Comedy, Supernatural, Super Power, Shounen",3,Premiered season not found,Tatsunoko Production,OVA,Manga
2118,Yuan Zun,https://myanimelist.net/anime/50114/Yuan_Zun,7.45,"Action, Adventure, Fantasy, Martial Arts",26,Premiered season not found,Motion Magic,ONA,Source not found
2119,Amagi Brilliant Park,https://myanimelist.net/anime/22147/Amagi_Brilliant_Park,7.45,"Comedy, Fantasy, Workplace",13,Fall 2014,Kyoto Animation,TV,Light novel
2120,Angel Beats! Another Epilogue,https://myanimelist.net/anime/10067/Angel_Beats_Another_Epilogue,7.45,"Fantasy, School",1,Premiered season not found,P.A. Works,Special,Source not found
2121,Burn the Witch #0.8,https://myanimelist.net/anime/56671/Burn_the_Witch_08,7.45,"Action, Fantasy, Shounen",1,Premiered season not found,Studio Colorido,TV Special,Manga
2122,Captain Tsubasa: Road to 2002,https://myanimelist.net/anime/1614/Captain_Tsubasa__Road_to_2002,7.45,"Sports, Team Sports, Shounen",52,Fall 2001,Group TAC,TV,Manga
2123,Chio-chan no Tsuugakuro,https://myanimelist.net/anime/35821/Chio-chan_no_Tsuugakuro,7.45,"Comedy, Seinen",12,Summer 2018,Diomedéa,TV,Manga
2124,Crayon Shin-chan Movie 22: Gachinko! Gyakushuu no Robo To-chan,https://myanimelist.net/anime/21395/Crayon_Shin-chan_Movie_22__Gachinko_Gyakushuu_no_Robo_To-chan,7.45,"Award Winning, Comedy, Sci-Fi, Seinen",1,Premiered season not found,Shin-Ei Animation,Movie,Manga
2125,Do It Yourself!!,https://myanimelist.net/anime/48542/Do_It_Yourself,7.45,"Slice of Life, CGDCT, School",12,Fall 2022,PINE JAM,TV,Source not found
2126,Dragon Ball Super,https://myanimelist.net/anime/30694/Dragon_Ball_Super,7.45,"Action, Adventure, Comedy, Fantasy, Martial Arts, Super Power, Shounen",131,Summer 2015,Toei Animation,TV,Manga
2127,Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka Movie: Orion no Ya,https://myanimelist.net/anime/37348/Dungeon_ni_Deai_wo_Motomeru_no_wa_Machigatteiru_Darou_ka_Movie__Orion_no_Ya,7.45,"Action, Adventure, Fantasy",1,Premiered season not found,J.C.Staff,Movie,Light novel
2128,Fullmetal Alchemist: Brotherhood - 4-koma Gekijou,https://myanimelist.net/anime/7902/Fullmetal_Alchemist__Brotherhood_-_4-koma_Gekijou,7.45,"Comedy, Fantasy, Parody",16,Premiered season not found,Bones,Special,4-koma manga
2129,"Goodbye, Don Glees!",https://myanimelist.net/anime/49345/Goodbye_Don_Glees,7.45,"Adventure, Drama",1,Premiered season not found,Madhouse,Movie,Source not found
2130,Grappler Baki (TV),https://myanimelist.net/anime/287/Grappler_Baki_TV,7.45,"Sports, Combat Sports, Gore, Shounen",24,Winter 2001,Group TAC,TV,Manga
2131,Haha wo Tazunete Sanzenri,https://myanimelist.net/anime/1663/Haha_wo_Tazunete_Sanzenri,7.45,"Adventure, Drama, Slice of Life, Historical",52,Winter 1976,Nippon Animation,TV,Source not found
2132,Hanbun no Tsuki ga Noboru Sora,https://myanimelist.net/anime/587/Hanbun_no_Tsuki_ga_Noboru_Sora,7.45,"Drama, Romance",6,Winter 2006,Group TAC,TV,Light novel
2133,Hime-chan no Ribbon,https://myanimelist.net/anime/2037/Hime-chan_no_Ribbon,7.45,"Comedy, Fantasy, Romance, School, Shoujo",61,Fall 1992,Gallop,TV,Manga
2134,Hokuto no Ken: Raoh Gaiden Junai-hen,https://myanimelist.net/anime/1773/Hokuto_no_Ken__Raoh_Gaiden_Junai-hen,7.45,"Action, Adventure, Martial Arts, Shounen",1,Premiered season not found,TMS Entertainment,Movie,Manga
2135,Itsudatte Bokura no Koi wa 10 cm Datta.,https://myanimelist.net/anime/36220/Itsudatte_Bokura_no_Koi_wa_10_cm_Datta,7.45,"Drama, Romance, School, Visual Arts",6,Fall 2017,Lay-duce,TV,Source not found
2136,Aggressive Retsuko (ONA) 5th Season,https://myanimelist.net/anime/50598/Aggressive_Retsuko_ONA_5th_Season,7.44,"Comedy, Anthropomorphic, Workplace",10,Premiered season not found,Fanworks,ONA,Source not found
2137,Aishiteruze Baby★★,https://myanimelist.net/anime/102/Aishiteruze_Baby%E2%98%85%E2%98%85,7.44,"Comedy, Drama, Romance, Childcare, Shoujo",26,Spring 2004,TMS Entertainment,TV,Manga
2138,Chuunibyou demo Koi ga Shitai! Ren: The Rikka Wars,https://myanimelist.net/anime/27601/Chuunibyou_demo_Koi_ga_Shitai_Ren__The_Rikka_Wars,7.44,"Comedy, Drama, Romance, School",1,Premiered season not found,Kyoto Animation,Special,Light novel
2139,Code Geass: Boukoku no Akito 2 - Hikisakareshi Yokuryuu,https://myanimelist.net/anime/15197/Code_Geass__Boukoku_no_Akito_2_-_Hikisakareshi_Yokuryuu,7.44,"Action, Mecha, Military",1,Premiered season not found,Sunrise,Movie,Source not found
2140,Crayon Shin-chan Movie 29: Mystery Meki! Hana no Tenkasu Gakuen,https://myanimelist.net/anime/44616/Crayon_Shin-chan_Movie_29__Mystery_Meki_Hana_no_Tenkasu_Gakuen,7.44,"Comedy, Seinen",1,Premiered season not found,Shin-Ei Animation,Movie,Manga
2141,Days: Touin Gakuen-sen!,https://myanimelist.net/anime/34513/Days__Touin_Gakuen-sen,7.44,"Sports, School, Team Sports, Shounen",3,Premiered season not found,MAPPA,OVA,Manga
2142,Digimon Adventure tri. 2: Ketsui,https://myanimelist.net/anime/32108/Digimon_Adventure_tri_2__Ketsui,7.44,"Action, Adventure, Comedy, Drama",1,Premiered season not found,Toei Animation,Movie,Source not found
2143,Hetalia World Series,https://myanimelist.net/anime/8479/Hetalia_World_Series,7.44,"Comedy, Anthropomorphic, Gag Humor, Historical, Parody",48,Premiered season not found,Studio Deen,ONA,Web manga
2144,Hetalia: The Beautiful World Specials,https://myanimelist.net/anime/17273/Hetalia__The_Beautiful_World_Specials,7.44,"Comedy, Anthropomorphic, Historical, Parody",4,Premiered season not found,Studio Deen,Special,Web manga
2145,Joshiraku,https://myanimelist.net/anime/12679/Joshiraku,7.44,"Comedy, Adult Cast, Gag Humor, Parody, Performing Arts, Shounen",13,Summer 2012,J.C.Staff,TV,Manga
2146,Kamichu! Specials,https://myanimelist.net/anime/3449/Kamichu_Specials,7.44,"Slice of Life, Supernatural, Iyashikei, Mythology, School",4,Premiered season not found,Brain's Base,Special,Source not found
2147,Kara no Kyoukai Movie 6: Boukyaku Rokuon,https://myanimelist.net/anime/5204/Kara_no_Kyoukai_Movie_6__Boukyaku_Rokuon,7.44,"Action, Fantasy, Mystery, Romance, Suspense, Urban Fantasy",1,Premiered season not found,ufotable,Movie,Light novel
2148,Kiratto Pri☆chan Season 2,https://myanimelist.net/anime/38804/Kiratto_Pri%E2%98%86chan_Season_2,7.44,"Comedy, Slice of Life, Idols (Female), Music",51,Spring 2019,Tatsunoko Production,TV,Source not found
2149,Mahou Shoujo Lyrical Nanoha: Reflection,https://myanimelist.net/anime/17947/Mahou_Shoujo_Lyrical_Nanoha__Reflection,7.44,"Action, Drama, Sci-Fi, Mahou Shoujo",1,Premiered season not found,Seven Arcs Pictures,Movie,Source not found
2150,Mini Dragon Specials,https://myanimelist.net/anime/49483/Mini_Dragon_Specials,7.44,"Fantasy, Slice of Life",8,Premiered season not found,Kyoto Animation,Special,Manga
2151,Oemojisangjuui,https://myanimelist.net/anime/53149/Oemojisangjuui,7.44,"Action, Drama, Supernatural, School",8,Premiered season not found,Studio Mir,ONA,Web manga
2152,Omoide Poroporo,https://myanimelist.net/anime/1029/Omoide_Poroporo,7.44,"Drama, Romance, Josei",1,Premiered season not found,Studio Ghibli,Movie,Manga
2153,Piano no Mori (TV) 2nd Season,https://myanimelist.net/anime/37975/Piano_no_Mori_TV_2nd_Season,7.44,"Drama, Music, School, Seinen",12,Winter 2019,Gaina,TV,Manga
2154,Pokemon Evolutions,https://myanimelist.net/anime/49730/Pokemon_Evolutions,7.44,"Adventure, Fantasy, Kids",8,Premiered season not found,OLM,ONA,Source not found
2155,Psycho-Pass 3,https://myanimelist.net/anime/39491/Psycho-Pass_3,7.44,"Action, Mystery, Sci-Fi, Suspense, Adult Cast, Detective, Gore, Psychological",8,Fall 2019,Production I.G,TV,Source not found
2156,Shakugan no Shana,https://myanimelist.net/anime/355/Shakugan_no_Shana,7.44,"Action, Drama, Fantasy, Romance, School, Urban Fantasy",24,Fall 2005,J.C.Staff,TV,Light novel
2157,Shigofumi,https://myanimelist.net/anime/3420/Shigofumi,7.44,"Drama, Fantasy, Suspense, Psychological",12,Winter 2008,J.C.Staff,TV,Source not found
2158,Suisei no Gargantia,https://myanimelist.net/anime/16524/Suisei_no_Gargantia,7.44,"Action, Adventure, Sci-Fi, Mecha",13,Spring 2013,Production I.G,TV,Source not found
2159,Tales of Symphonia The Animation: Tethe'alla-hen,https://myanimelist.net/anime/5306/Tales_of_Symphonia_The_Animation__Tethealla-hen,7.44,"Action, Adventure, Fantasy, Martial Arts",4,Premiered season not found,ufotable,OVA,Source not found
2160,"Tamayura: More Aggressive - Tsuitachi dake no Shuugakuryokou, nanode",https://myanimelist.net/anime/21737/Tamayura__More_Aggressive_-_Tsuitachi_dake_no_Shuugakuryokou_nanode,7.44,"Slice of Life, CGDCT, Iyashikei",1,Premiered season not found,TYO Animations,Special,Source not found
2161,Toaru Kagaku no Railgun: Misaka-san wa Ima Chuumoku no Mato desu kara,https://myanimelist.net/anime/9047/Toaru_Kagaku_no_Railgun__Misaka-san_wa_Ima_Chuumoku_no_Mato_desu_kara,7.44,"Action, Fantasy, Sci-Fi, Super Power",1,Premiered season not found,J.C.Staff,OVA,Manga
2162,Tonari no Seki-kun Specials,https://myanimelist.net/anime/24365/Tonari_no_Seki-kun_Specials,7.44,"Comedy, School, Seinen",2,Premiered season not found,Shin-Ei Animation,Special,Manga
2163,Wu Dong Qian Kun,https://myanimelist.net/anime/39024/Wu_Dong_Qian_Kun,7.44,"Action, Adventure, Fantasy, Historical, Martial Arts",12,Premiered season not found,Motion Magic,ONA,Source not found
2164,Yoru no Kuni,https://myanimelist.net/anime/48727/Yoru_no_Kuni,7.44,"Fantasy, Slice of Life, Iyashikei",3,Premiered season not found,Studio Daisy,ONA,Source not found
2165,Yowamushi Pedal: Re:Road,https://myanimelist.net/anime/30790/Yowamushi_Pedal__Re_Road,7.44,"Sports, Racing, Shounen",1,Premiered season not found,TMS Entertainment,Movie,Manga
2166,Yozakura Quartet: Hana no Uta,https://myanimelist.net/anime/18497/Yozakura_Quartet__Hana_no_Uta,7.44,"Action, Comedy, Supernatural, Super Power, Shounen",13,Fall 2013,Tatsunoko Production,TV,Manga
2167,Sora no Otoshimono Forte,https://myanimelist.net/anime/8407/Sora_no_Otoshimono_Forte,7.43,"Comedy, Fantasy, Romance, Sci-Fi, Ecchi, Harem, Shounen",12,Fall 2010,AIC ASTA,TV,Manga
2168,Steins;Gate: Soumei Eichi no Cognitive Computing,https://myanimelist.net/anime/27957/Steins_Gate__Soumei_Eichi_no_Cognitive_Computing,7.43,"Comedy, Sci-Fi",4,Premiered season not found,White Fox,ONA,Source not found
2169,Tegamibachi: Hikari to Ao no Gensou Yawa,https://myanimelist.net/anime/5538/Tegamibachi__Hikari_to_Ao_no_Gensou_Yawa,7.43,"Adventure, Fantasy, Shounen",1,Premiered season not found,Pierrot,Special,Manga
2170,Tennis no Oujisama Movie 2: Eikokushiki Teikyuu Shiro Kessen!,https://myanimelist.net/anime/10731/Tennis_no_Oujisama_Movie_2__Eikokushiki_Teikyuu_Shiro_Kessen,7.43,"Sports, School, Shounen",1,Premiered season not found,Production I.G,Movie,Manga
2171,Tennis no Oujisama: Atobe kara no Okurimono - Kimi ni Sasageru Tennis Prince Matsuri,https://myanimelist.net/anime/814/Tennis_no_Oujisama__Atobe_kara_no_Okurimono_-_Kimi_ni_Sasageru_Tennis_Prince_Matsuri,7.43,"Comedy, Sports, Shounen",1,Premiered season not found,Trans Arts,Movie,Manga
2172,Tonikaku Kawaii: Kaisou,https://myanimelist.net/anime/45598/Tonikaku_Kawaii__Kaisou,7.43,"Comedy, Romance, Shounen",1,Premiered season not found,Seven Arcs,TV Special,Manga
2173,Toradora!: Bentou no Gokui,https://myanimelist.net/anime/11553/Toradora__Bentou_no_Gokui,7.43,"Comedy, Gourmet, School",1,Premiered season not found,J.C.Staff,Special,Light novel
2174,Uchuu no Kishi Tekkaman Blade,https://myanimelist.net/anime/1459/Uchuu_no_Kishi_Tekkaman_Blade,7.43,"Action, Adventure, Drama, Romance, Sci-Fi, Mecha, Military, Space",49,Winter 1992,Tatsunoko Production,TV,Source not found
2175,Ansatsu Kyoushitsu: Deai no Jikan,https://myanimelist.net/anime/28405/Ansatsu_Kyoushitsu__Deai_no_Jikan,7.43,"Action, Comedy, School, Shounen",1,Premiered season not found,Lerche,Special,Manga
2176,Bleach Movie 1: Memories of Nobody,https://myanimelist.net/anime/1686/Bleach_Movie_1__Memories_of_Nobody,7.43,"Action, Adventure, Supernatural, Shounen",1,Premiered season not found,Pierrot,Movie,Manga
2177,Boku no Hero Academia the Movie 3: World Heroes' Mission - Tabidachi,https://myanimelist.net/anime/50532/Boku_no_Hero_Academia_the_Movie_3__World_Heroes_Mission_-_Tabidachi,7.43,"Action, Super Power, Shounen",1,Premiered season not found,Bones,Special,Manga
2178,Chouyaku Hyakuninisshu: Uta Koi.,https://myanimelist.net/anime/13349/Chouyaku_Hyakuninisshu__Uta_Koi,7.43,"Comedy, Romance, Historical, Josei",13,Summer 2012,TYO Animations,TV,Manga
2179,Digimon Adventure tri. 1: Saikai,https://myanimelist.net/anime/25687/Digimon_Adventure_tri_1__Saikai,7.43,"Action, Adventure, Comedy, Drama",1,Premiered season not found,Toei Animation,Movie,Source not found
2180,Edens Zero 2nd Season,https://myanimelist.net/anime/50002/Edens_Zero_2nd_Season,7.43,"Action, Adventure, Fantasy, Sci-Fi, Space, Shounen",25,Spring 2023,J.C.Staff,TV,Manga
2181,Gabriel DropOut,https://myanimelist.net/anime/33731/Gabriel_DropOut,7.43,"Comedy, Supernatural, CGDCT, Mythology, School, Shounen",12,Winter 2017,Doga Kobo,TV,Manga
2182,Genjitsu Shugi Yuusha no Oukoku Saikenki Part 2,https://myanimelist.net/anime/49930/Genjitsu_Shugi_Yuusha_no_Oukoku_Saikenki_Part_2,7.43,"Action, Fantasy, Romance, Harem, Isekai, Military",13,Winter 2022,J.C.Staff,TV,Light novel
2183,Haiyore! Nyaruko-san F,https://myanimelist.net/anime/26023/Haiyore_Nyaruko-san_F,7.43,"Comedy, Romance, Sci-Fi, Parody",1,Premiered season not found,Xebec,OVA,Light novel
2184,Hetalia World Series Specials,https://myanimelist.net/anime/10497/Hetalia_World_Series_Specials,7.43,"Comedy, Historical, Parody",4,Premiered season not found,Studio Deen,Special,Web manga
2185,Houkago Teibou Nisshi,https://myanimelist.net/anime/39730/Houkago_Teibou_Nisshi,7.43,"Gourmet, Slice of Life, CGDCT, Iyashikei, School, Seinen",12,Spring 2020,Doga Kobo,TV,Manga
2186,Kiniro no Corda: Primo Passo - Hitonatsu no Encore,https://myanimelist.net/anime/3392/Kiniro_no_Corda__Primo_Passo_-_Hitonatsu_no_Encore,7.43,"Romance, Music, Performing Arts, Reverse Harem, School, Josei",1,Premiered season not found,Yumeta Company,Special,Source not found
2187,Koukaku Kidoutai: Shin Movie,https://myanimelist.net/anime/27411/Koukaku_Kidoutai__Shin_Movie,7.43,"Action, Award Winning, Mystery, Sci-Fi, Adult Cast, Detective, Mecha, Psychological",1,Premiered season not found,Production I.G,Movie,Manga
2188,"Kumo no Mukou, Yakusoku no Basho",https://myanimelist.net/anime/433/Kumo_no_Mukou_Yakusoku_no_Basho,7.43,"Award Winning, Drama, Romance, Sci-Fi, Military",1,Premiered season not found,CoMix Wave Films,Movie,Source not found
2189,Meitantei Conan Movie 11: Konpeki no Jolly Roger,https://myanimelist.net/anime/2171/Meitantei_Conan_Movie_11__Konpeki_no_Jolly_Roger,7.43,"Adventure, Comedy, Mystery, Detective, Shounen",1,Premiered season not found,TMS Entertainment,Movie,Manga
2190,Nozomanu Fushi no Boukensha,https://myanimelist.net/anime/51648/Nozomanu_Fushi_no_Boukensha,7.43,"Action, Adventure, Fantasy",12,Winter 2024,Connect,TV,Light novel
2191,"One Piece Movie 09: Episode of Chopper Plus - Fuyu ni Saku, Kiseki no Sakura",https://myanimelist.net/anime/3848/One_Piece_Movie_09__Episode_of_Chopper_Plus_-_Fuyu_ni_Saku_Kiseki_no_Sakura,7.43,"Action, Adventure, Fantasy, Shounen",1,Premiered season not found,Toei Animation,Movie,Manga
2192,Oshi ga Budoukan Ittekuretara Shinu,https://myanimelist.net/anime/37890/Oshi_ga_Budoukan_Ittekuretara_Shinu,7.43,"Comedy, Idols (Female), Music, Otaku Culture, Seinen",12,Winter 2020,8bit,TV,Manga
2193,Pokemon XY,https://myanimelist.net/anime/19291/Pokemon_XY,7.43,"Action, Adventure, Comedy, Fantasy, Kids",93,Fall 2013,OLM,TV,Source not found
2194,Saihate no Paladin: Tetsusabi no Yama no Ou,https://myanimelist.net/anime/50664/Saihate_no_Paladin__Tetsusabi_no_Yama_no_Ou,7.43,"Action, Adventure, Fantasy, Isekai, Reincarnation",12,Fall 2023,OLM,TV,Light novel
2195,Salaryman Kintarou,https://myanimelist.net/anime/1608/Salaryman_Kintarou,7.43,"Comedy, Drama, Martial Arts, Seinen",20,Winter 2001,JCF,TV,Manga
2196,Samurai 7,https://myanimelist.net/anime/166/Samurai_7,7.43,"Action, Sci-Fi, Historical, Mecha, Samurai",26,Summer 2004,Gonzo,TV,Source not found
2197,K,https://myanimelist.net/anime/14467/K,7.42,"Action, Mystery, Super Power",13,Fall 2012,GoHands,TV,Source not found
2198,K: Seven Stories Movie 4 - Lost Small World - Ori no Mukou ni,https://myanimelist.net/anime/37305/K__Seven_Stories_Movie_4_-_Lost_Small_World_-_Ori_no_Mukou_ni,7.42,"Action, Super Power",1,Premiered season not found,GoHands,Movie,Light novel
2199,Kimi wo Aishita Hitori no Boku e,https://myanimelist.net/anime/49835/Kimi_wo_Aishita_Hitori_no_Boku_e,7.42,"Romance, Sci-Fi",1,Premiered season not found,TMS Entertainment,Movie,Source not found
2200,Kono Sekai no Tanoshimikata: Secret Story Film,https://myanimelist.net/anime/42750/Kono_Sekai_no_Tanoshimikata__Secret_Story_Film,7.42,"Idols (Male), Music",1,Premiered season not found,CLAP,Movie,Source not found
2201,"Kore wa Zombie desu ka? of the Dead: Hai, Minotake ni Attemasu",https://myanimelist.net/anime/15437/Kore_wa_Zombie_desu_ka_of_the_Dead__Hai_Minotake_ni_Attemasu,7.42,"Action, Comedy, Fantasy, Ecchi, Harem, Urban Fantasy, Vampire",1,Premiered season not found,Studio Deen,OVA,Light novel
2202,Koukaku Kidoutai Arise: Ghost in the Shell - Border:1 Ghost Pain,https://myanimelist.net/anime/17187/Koukaku_Kidoutai_Arise__Ghost_in_the_Shell_-_Border_1_Ghost_Pain,7.42,"Action, Sci-Fi, Adult Cast, Detective, Mecha, Psychological",1,Premiered season not found,Production I.G,Movie,Manga
